food_id,food_name,category,calories_kcal,protein_g,fat_g,carbohydrates_g,fiber_g,sugar_g,sodium_mg,potassium_mg,vitamin_c_mg,iron_mg,calcium_mg,water_content_pct,glycemic_index,serving_size_g,country_of_origin,data_source,year_recorded
1177,Almonds,Legumes,706.3,28.12,48.02,69.04,0.99,42.54,975.2,296.0,80.42,6.12,449.3,78.0,19.0,212.7,Nigeria,USDA,2019
4771,Cottage Cheese,Seafood,26.1,38.32,68.75,105.58,5.98,6.58,91.8,182.0,26.06,18.81,276.7,11.5,63.0,79.5,USA,USDA,2021
1091,Cucumber,Proteins,849.6,21.0,76.22,33.76,13.42,18.09,570.6,827.9,109.34,8.77,228.0,94.6,11.0,32.7,Australia,FAO,2020
4818,GREEN BEANS,Legumes,741.3,23.07,29.02,111.64,5.46,22.94,979.3,768.0,27.18,9.64,296.3,19.1,48.0,122.4,China,USDA,2022
4376,Chicken Breast,Seafood,445.3,12.41,66.0,64.17,14.34,17.58,1154.3,782.7,65.2,19.42,424.7,56.6,97.0,67.4,Brazil,OpenFoodFacts,2023
280,Onion,Proteins,720.3,17.22,34.43,115.65,0.55,30.53,152.3,13.0,,14.14,345.0,35.0,3.0,242.9,Australia,USDA,2023.
997,Carrot,Seafood,827.2,25.21,74.14,68.72,16.47,57.12,1577.6,40.9,1.4,5.29,495.2,63.6,64.0,25.5,Nigeria,Kaggle FoodDB,2018
585,Brown Rice,Vegetables,577.4,23.02,42.38,13.29,9.04,,1858.6,973.6,29.7,18.74,89.2,70.6,91.0,107.3,Mexico,Kaggle FoodDB,2020
1486,Olive Oil,Vegetables,342.5,,32.22,77.71,18.74,16.53,284.4,73.3,180.26,18.38,437.3,49.8,23.0,148.8,Brazil,Kaggle FoodDB,2020
3927,Broccoli,Grains,,,3.11,88.74,5.07,29.95,1846.4,767.7,133.55,5.51,142.0,30.6,82.0,165.6,UK,USDA,2020
2772,Pasta  ,Seafood,261.7,35.47,48.9,99.45,8.01,,1310.2,316.4,,5.08,,51.8,N/A,169.1,Mexico,Kaggle FoodDB,2018
3652,SALMON,Proteins,370.1,20.7,19.33,31.28,3.63,33.02,303.3,1154.5,170.5,3.15,56.6,98.7,49.0,276.3,USA,OpenFoodFacts,2024
